"TRANSACTION TYPE"|"REPLACEMENT REASON"|"AGE GROUP"|"PENSIONER TYPE"|"GENDER"|"CUSTOMER ADDRESS LGA"|"COUNT"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Snowy Valleys"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Strathfield"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Sutherland Shire"|"12"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Sydney"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Tamworth Regional"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Tenterfield"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"The Hills Shire"|"18"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Tweed"|"9"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Unincorporated NSW"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Upper Hunter Shire"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Upper Lachlan Shire"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Wagga Wagga"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Walgett"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Warren"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Warrumbungle Shire"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Waverley"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Weddin"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Wentworth"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Western Plains Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Willoughby"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Wingecarribee"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Wollondilly"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Wollongong"|"11"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Woollahra"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Female"|"Yass Valley"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Albury"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Armidale Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Ballina"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Bathurst Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Bayside"|"24"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Bega Valley"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Bellingen"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Blacktown"|"50"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Blue Mountains"|"11"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Broken Hill"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Burwood"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Byron"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Cabonne"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Camden"|"16"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Campbelltown"|"19"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Canada Bay"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Canterbury-Bankstown"|"46"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Carrathool"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Central Coast"|"33"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Cessnock"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Clarence Valley"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Cobar"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Coffs Harbour"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Cowra"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Cumberland"|"24"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Eurobodalla"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Fairfield"|"28"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Federation"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Forbes"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Georges River"|"14"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Gilgandra"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Glen Innes Severn"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Greater Hume Shire"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Griffith"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Gundagai"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Gwydir"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Hawkesbury"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Hilltops"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Hornsby"|"15"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Hunters Hill"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Inner West"|"20"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Inverell"|"6"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Kempsey"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Kiama"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Ku-ring-gai"|"15"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Kyogle"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Lake Macquarie"|"12"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Lane Cove"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Leeton"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Lismore"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Lithgow"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Liverpool"|"26"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Liverpool Plains"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Lockhart"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Maitland"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Mid-Coast"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Mid-Western Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Missing/Unknown"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Moree Plains"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Mosman"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Murray River"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Murrumbidgee"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Muswellbrook"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Nambucca"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Narrabri"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Narromine"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Newcastle"|"12"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"North Sydney"|"9"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Northern Beaches"|"31"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Orange"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Parkes"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Parramatta"|"14"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Penrith"|"21"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Port Macquarie-Hastings"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Port Stephens"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Queanbeyan-Palerang Regional"|"15"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Randwick"|"15"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Richmond Valley"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Ryde"|"10"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Shellharbour"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Shoalhaven"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Singleton"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Snowy Monaro Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Snowy Valleys"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Strathfield"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Sutherland Shire"|"11"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Sydney"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Tamworth Regional"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Temora"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"The Hills Shire"|"15"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Tweed"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Unincorporated NSW"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Wagga Wagga"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Walcha"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Walgett"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Warren"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Warrumbungle Shire"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Waverley"|"9"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Wentworth"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Western Plains Regional"|"12"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Willoughby"|"7"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Wingecarribee"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Wollondilly"|"8"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Wollongong"|"17"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Woollahra"|"<=5"
"Photo card issue"|"Not Applicable"|"16-17"|"Missing/Unknown"|"Male"|"Yass Valley"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Albury"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Cabonne"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Campbelltown"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Canterbury-Bankstown"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Cessnock"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Coffs Harbour"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Cumberland"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Gunnedah"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Inner West"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Liverpool Plains"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Newcastle"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Northern Beaches"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Orange"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Parramatta"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Penrith"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Snowy Valleys"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Tamworth Regional"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Tweed"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Wagga Wagga"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Female"|"Wollongong"|"<=5"
"Photo card issue"|"Not Applicable"|"18-20"|"Centrelink Pensioner"|"Male"|"Blacktown"|"<=5"
