,Contract_Type,Tap_Class,Year,Month,Day,Taps_Count
171,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2020,9,1,5
172,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2020,10,1,2
173,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2021,3,1,1
174,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2021,4,1,7
175,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2021,5,1,2
176,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2021,6,1,4
177,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2021,7,1,1
178,Sydney Metro Bus Contract 1,Adult Single Bus Trip 2,2021,8,1,4
179,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2016,8,1,1880
180,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2016,9,1,1459
181,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2016,10,1,1355
182,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2016,11,1,1198
183,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2016,12,1,1102
184,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,1,1,1098
185,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,2,1,1009
186,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,3,1,992
187,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,4,1,947
188,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,5,1,971
189,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,6,1,876
190,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,7,1,992
191,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,8,1,881
192,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,9,1,920
193,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,10,1,917
194,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,11,1,837
195,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2017,12,1,942
196,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,1,1,922
197,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,2,1,776
198,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,3,1,803
199,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,4,1,785
200,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,5,1,795
201,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,6,1,688
202,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,7,1,891
203,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,8,1,851
204,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,9,1,726
205,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,10,1,857
206,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,11,1,825
207,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2018,12,1,761
208,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,1,1,731
209,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,2,1,734
210,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,3,1,810
211,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,4,1,781
212,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,5,1,745
213,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,6,1,517
214,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,7,1,674
215,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,8,1,449
216,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,9,1,374
217,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,10,1,347
218,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2019,12,1,1
219,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2020,4,1,1
220,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2020,5,1,1
221,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2021,2,1,3
222,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2021,6,1,4
223,Sydney Metro Bus Contract 1,Adult Single Bus Trip 3,2021,8,1,2
224,Sydney Metro Bus Contract 1,Child/Youth,2016,7,1,62800
225,Sydney Metro Bus Contract 1,Child/Youth,2016,8,1,67010
226,Sydney Metro Bus Contract 1,Child/Youth,2016,9,1,70022
227,Sydney Metro Bus Contract 1,Child/Youth,2016,10,1,78951
228,Sydney Metro Bus Contract 1,Child/Youth,2016,11,1,76328
229,Sydney Metro Bus Contract 1,Child/Youth,2016,12,1,77290
230,Sydney Metro Bus Contract 1,Child/Youth,2017,1,1,80779
231,Sydney Metro Bus Contract 1,Child/Youth,2017,2,1,80920
232,Sydney Metro Bus Contract 1,Child/Youth,2017,3,1,82720
233,Sydney Metro Bus Contract 1,Child/Youth,2017,4,1,78164
234,Sydney Metro Bus Contract 1,Child/Youth,2017,5,1,77300
235,Sydney Metro Bus Contract 1,Child/Youth,2017,6,1,68761
236,Sydney Metro Bus Contract 1,Child/Youth,2017,7,1,89142
237,Sydney Metro Bus Contract 1,Child/Youth,2017,8,1,73381
238,Sydney Metro Bus Contract 1,Child/Youth,2017,9,1,77498
239,Sydney Metro Bus Contract 1,Child/Youth,2017,10,1,83085
240,Sydney Metro Bus Contract 1,Child/Youth,2017,11,1,79384
241,Sydney Metro Bus Contract 1,Child/Youth,2017,12,1,81840
242,Sydney Metro Bus Contract 1,Child/Youth,2018,1,1,90813
243,Sydney Metro Bus Contract 1,Child/Youth,2018,2,1,85852
244,Sydney Metro Bus Contract 1,Child/Youth,2018,3,1,89194
245,Sydney Metro Bus Contract 1,Child/Youth,2018,4,1,87921
246,Sydney Metro Bus Contract 1,Child/Youth,2018,5,1,85444
247,Sydney Metro Bus Contract 1,Child/Youth,2018,6,1,75635
248,Sydney Metro Bus Contract 1,Child/Youth,2018,7,1,96862
249,Sydney Metro Bus Contract 1,Child/Youth,2018,8,1,84041
250,Sydney Metro Bus Contract 1,Child/Youth,2018,9,1,76967
251,Sydney Metro Bus Contract 1,Child/Youth,2018,10,1,94270
252,Sydney Metro Bus Contract 1,Child/Youth,2018,11,1,83569
253,Sydney Metro Bus Contract 1,Child/Youth,2018,12,1,80732
254,Sydney Metro Bus Contract 1,Child/Youth,2019,1,1,92159
255,Sydney Metro Bus Contract 1,Child/Youth,2019,2,1,88688
256,Sydney Metro Bus Contract 1,Child/Youth,2019,3,1,89238
257,Sydney Metro Bus Contract 1,Child/Youth,2019,4,1,86945
258,Sydney Metro Bus Contract 1,Child/Youth,2019,5,1,84310
259,Sydney Metro Bus Contract 1,Child/Youth,2019,6,1,72749
260,Sydney Metro Bus Contract 1,Child/Youth,2019,7,1,98011
261,Sydney Metro Bus Contract 1,Child/Youth,2019,8,1,80637
262,Sydney Metro Bus Contract 1,Child/Youth,2019,9,1,75766
263,Sydney Metro Bus Contract 1,Child/Youth,2019,10,1,92826
264,Sydney Metro Bus Contract 1,Child/Youth,2019,11,1,81238
265,Sydney Metro Bus Contract 1,Child/Youth,2019,12,1,81917
266,Sydney Metro Bus Contract 1,Child/Youth,2020,1,1,95311
267,Sydney Metro Bus Contract 1,Child/Youth,2020,2,1,82827
268,Sydney Metro Bus Contract 1,Child/Youth,2020,3,1,59296
269,Sydney Metro Bus Contract 1,Child/Youth,2020,4,1,16162
270,Sydney Metro Bus Contract 1,Child/Youth,2020,5,1,28396
271,Sydney Metro Bus Contract 1,Child/Youth,2020,6,1,40075
272,Sydney Metro Bus Contract 1,Child/Youth,2020,7,1,55356
273,Sydney Metro Bus Contract 1,Child/Youth,2020,8,1,41851
274,Sydney Metro Bus Contract 1,Child/Youth,2020,9,1,44307
275,Sydney Metro Bus Contract 1,Child/Youth,2020,10,1,50513
276,Sydney Metro Bus Contract 1,Child/Youth,2020,11,1,41384
277,Sydney Metro Bus Contract 1,Child/Youth,2020,12,1,47658
278,Sydney Metro Bus Contract 1,Child/Youth,2021,1,1,46574
279,Sydney Metro Bus Contract 1,Child/Youth,2021,2,1,45469
280,Sydney Metro Bus Contract 1,Child/Youth,2021,3,1,42069
281,Sydney Metro Bus Contract 1,Child/Youth,2021,4,1,52658
282,Sydney Metro Bus Contract 1,Child/Youth,2021,5,1,42457
283,Sydney Metro Bus Contract 1,Child/Youth,2021,6,1,34715
284,Sydney Metro Bus Contract 1,Child/Youth,2021,7,1,11205
285,Sydney Metro Bus Contract 1,Child/Youth,2021,8,1,6725
286,Sydney Metro Bus Contract 1,Child/Youth,2021,9,1,9170
287,Sydney Metro Bus Contract 1,Child/Youth,2021,10,1,24293
288,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2016,8,1,14002
289,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2016,9,1,12523
290,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2016,10,1,11226
291,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2016,11,1,9254
292,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2016,12,1,10271
293,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,1,1,10453
294,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,2,1,6258
295,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,3,1,6998
296,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,4,1,8981
297,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,5,1,6289
298,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,6,1,5812
299,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,7,1,8689
300,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,8,1,5568
301,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,9,1,7029
302,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,10,1,6771
303,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,11,1,5690
304,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2017,12,1,8491
305,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,1,1,8730
306,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,2,1,5228
307,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,3,1,5720
308,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,4,1,7288
309,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,5,1,5113
310,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,6,1,4494
311,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,7,1,7502
312,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,8,1,4981
313,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,9,1,4518
314,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,10,1,5907
315,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,11,1,4407
316,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2018,12,1,5647
317,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,1,1,7175
318,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,2,1,3669
319,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,3,1,4017
320,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,4,1,5125
321,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,5,1,3446
322,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,6,1,3234
323,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,7,1,5754
324,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,8,1,3243
325,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,9,1,3164
326,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2019,10,1,3725
327,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2020,2,1,1
328,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2020,12,1,1
329,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 1,2021,1,1,9
330,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2016,8,1,10189
331,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2016,9,1,8836
332,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2016,10,1,8459
333,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2016,11,1,5673
334,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2016,12,1,7826
335,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,1,1,8579
336,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,2,1,4342
337,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,3,1,4548
338,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,4,1,7459
339,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,5,1,4281
340,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,6,1,3982
341,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,7,1,7252
342,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,8,1,3825
343,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,9,1,5503
344,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,10,1,5139
345,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,11,1,3981
346,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2017,12,1,6447
347,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2018,1,1,7107
348,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2018,2,1,3340
349,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2018,3,1,3697
350,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2018,4,1,5799
351,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2018,5,1,3306
352,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2018,6,1,3034
353,Sydney Metro Bus Contract 1,Child/Youth Single Bus Trip 2,2018,7,1,5961
